Fp2;F8;FT8;T8;TP8;P8;TP10;O2;Oz;O1;TP9;P7;TP7;T7;FT7;F7;FP1;AFz;F4;FC4;C4;CP4;P4;Pz;P3;CP3;C3;FC3;F3;Fz;FCz;CPz;Cz
11.671;11.628;9.109;10.777;9.385;4.131;4.723;-9.844;-4.474;-2.922;4.259;-0.140;7.302;6.798;2.705;6.617;18.616;12.382;16.071;9.804;9.643;12.282;9.612;6.195;1.628;-1.643;-4.019;-1.261;10.872;5.247;-3.672;-0.802;-4.602
11.326;10.931;8.540;9.844;8.645;3.598;3.885;-9.387;-4.012;-2.005;4.194;1.330;7.895;7.214;3.556;7.567;18.825;13.021;16.304;9.911;9.259;11.744;9.290;7.263;2.702;-0.523;-2.555;0.048;12.028;5.541;-3.776;0.137;-3.967
11.051;10.275;7.894;8.763;7.873;3.050;3.169;-8.867;-3.510;-1.075;4.166;2.955;8.548;7.693;4.425;8.551;19.026;13.715;16.237;9.955;8.642;11.069;8.883;8.200;3.906;0.681;-0.826;1.618;13.351;6.002;-3.706;0.906;-3.416
10.698;9.696;7.203;7.672;7.069;2.524;2.606;-8.320;-2.973;-0.140;4.169;4.673;9.275;8.196;5.200;9.411;18.980;14.317;15.973;9.939;7.901;10.312;8.470;8.993;5.222;1.966;1.073;3.329;14.652;6.551;-3.460;1.472;-3.007
10.126;9.185;6.507;6.678;6.223;2.050;2.205;-7.819;-2.448;0.768;4.199;6.388;10.076;8.701;5.766;10.010;18.542;14.715;15.641;9.882;7.144;9.530;8.085;9.613;6.616;3.311;3.030;5.038;15.765;7.129;-3.054;1.815;-2.778
9.256;8.684;5.833;5.831;5.321;1.625;1.934;-7.447;-2.003;1.607;4.285;7.980;10.938;9.185;6.039;10.257;17.746;14.855;15.307;9.794;6.443;8.755;7.710;10.035;8.044;4.681;4.912;6.599;16.575;7.710;-2.543;1.943;-2.740
8.077;8.105;5.157;5.109;4.352;1.206;1.700;-7.249;-1.678;2.344;4.508;9.339;11.821;9.604;5.986;10.101;16.738;14.706;14.941;9.649;5.799;7.981;7.303;10.256;9.445;6.004;6.569;7.863;16.992;8.237;-2.037;1.881;-2.890
6.612;7.351;4.399;4.427;3.306;0.734;1.402;-7.218;-1.472;2.959;4.974;10.409;12.658;9.890;5.641;9.560;15.672;14.221;14.433;9.385;5.131;7.176;6.836;10.285;10.742;7.186;7.862;8.706;16.964;8.581;-1.679;1.668;-3.222
4.909;6.362;3.492;3.698;2.213;0.188;1.007;-7.291;-1.338;3.450;5.702;11.200;13.413;10.037;5.145;8.767;14.689;13.370;13.668;8.957;4.329;6.314;6.316;10.170;11.867;8.157;8.736;9.091;16.519;8.604;-1.584;1.361;-3.699
3.028;5.164;2.469;2.898;1.162;-0.378;0.535;-7.373;-1.201;3.841;6.600;11.767;14.104;10.143;4.695;7.921;13.870;12.189;12.613;8.388;3.350;5.402;5.782;9.978;12.787;8.898;9.230;9.096;15.772;8.253;-1.775;1.020;-4.230
1.057;3.852;1.444;2.072;0.250;-0.872;0.002;-7.392;-1.006;4.155;7.546;12.153;14.749;10.324;4.428;7.177;13.180;10.766;11.351;7.758;2.232;4.456;5.262;9.746;13.479;9.404;9.411;8.846;14.859;7.596;-2.176;0.676;-4.700
-0.885;2.524;0.526;1.273;-0.470;-1.230;-0.568;-7.330;-0.756;4.376;8.439;12.356;15.311;10.613;4.340;6.594;12.470;9.195;10.022;7.140;1.028;3.464;4.741;9.431;13.901;9.650;9.318;8.439;13.883;6.764;-2.672;0.301;-5.044
-2.657;1.268;-0.225;0.539;-0.981;-1.439;-1.080;-7.203;-0.495;4.463;9.185;12.342;15.709;10.954;4.335;6.167;11.556;7.555;8.775;6.580;-0.240;2.393;4.174;8.936;13.995;9.600;8.977;7.914;12.889;5.863;-3.157;-0.182;-5.276
-4.106;0.197;-0.774;-0.084;-1.266;-1.522;-1.396;-7.028;-0.262;4.399;9.706;12.068;15.858;11.241;4.289;5.854;10.312;5.907;7.764;6.114;-1.546;1.224;3.533;8.194;13.735;9.226;8.424;7.276;11.869;4.938;-3.547;-0.851;-5.462
-5.110;-0.567;-1.100;-0.539;-1.330;-1.517;-1.424;-6.824;-0.072;4.210;9.991;11.501;15.706;11.359;4.093;5.616;8.747;4.323;7.111;5.778;-2.827;-0.010;2.827;7.205;13.140;8.532;7.707;6.521;10.797;4.009;-3.784;-1.723;-5.679
-5.666;-0.959;-1.206;-0.786;-1.224;-1.480;-1.156;-6.626;0.066;3.927;10.127;10.626;15.237;11.233;3.697;5.431;7.011;2.874;6.840;5.573;-4.001;-1.251;2.072;6.020;12.250;7.550;6.870;5.656;9.645;3.085;-3.879;-2.763;-6.000
-5.907;-0.978;-1.102;-0.799;-1.026;-1.464;-0.649;-6.475;0.143;3.566;10.240;9.472;14.494;10.875;3.159;5.283;5.325;1.587;6.858;5.445;-5.000;-2.445;1.275;4.716;11.105;6.348;5.956;4.702;8.392;2.151;-3.925;-3.905;-6.480
-6.026;-0.669;-0.790;-0.566;-0.789;-1.489;0.027;-6.385;0.173;3.143;10.399;8.166;13.608;10.385;2.621;5.130;3.891;0.436;6.993;5.323;-5.767;-3.535;0.468;3.401;9.776;5.052;5.045;3.713;7.056;1.166;-4.034;-5.058;-7.123
-6.182;-0.134;-0.304;-0.129;-0.536;-1.538;0.801;-6.340;0.181;2.693;10.602;6.917;12.760;9.887;2.218;4.880;2.824;-0.650;7.040;5.149;-6.289;-4.478;-0.298;2.195;8.381;3.829;4.254;2.765;5.683;0.085;-4.292;-6.112;-7.871
-6.451;0.456;0.237;0.383;-0.299;-1.594;1.591;-6.332;0.152;2.238;10.837;5.903;12.093;9.456;1.997;4.416;2.107;-1.766;6.825;4.882;-6.608;-5.265;-0.991;1.179;7.041;2.817;3.689;1.936;4.312;-1.136;-4.743;-6.980;-8.647
-6.826;0.928;0.667;0.813;-0.128;-1.636;2.314;-6.351;0.053;1.789;11.099;5.191;11.657;9.102;1.936;3.700;1.608;-2.983;6.268;4.511;-6.782;-5.918;-1.607;0.386;5.853;2.093;3.424;1.303;2.985;-2.490;-5.386;-7.621;-9.373
-7.289;1.166;0.871;1.061;-0.061;-1.646;2.922;-6.365;-0.118;1.383;11.363;4.768;11.423;8.817;2.019;2.823;1.141;-4.313;5.398;4.068;-6.843;-6.448;-2.149;-0.201;4.883;1.677;3.481;0.933;1.756;-3.913;-6.172;-8.049;-9.989
-7.827;1.170;0.851;1.116;-0.092;-1.605;3.421;-6.314;-0.310;1.080;11.598;4.585;11.327;8.595;2.237;1.921;0.544;-5.732;4.324;3.603;-6.805;-6.856;-2.610;-0.647;4.148;1.531;3.814;0.851;0.653;-5.333;-7.036;-8.335;-10.480
-8.375;1.046;0.711;1.043;-0.172;-1.494;3.849;-6.150;-0.470;0.916;11.803;4.582;11.290;8.409;2.553;1.097;-0.235;-7.188;3.208;3.177;-6.675;-7.134;-2.981;-1.053;3.598;1.561;4.306;1.004;-0.342;-6.710;-7.909;-8.596;-10.885
-8.813;0.950;0.585;0.933;-0.232;-1.290;4.225;-5.862;-0.576;0.888;12.021;4.704;11.247;8.236;2.898;0.426;-1.106;-8.574;2.208;2.843;-6.442;-7.270;-3.262;-1.517;3.156;1.667;4.823;1.307;-1.258;-8.007;-8.705;-8.941;-11.261
-9.028;1.011;0.576;0.866;-0.215;-0.974;4.537;-5.473;-0.645;0.950;12.293;4.904;11.179;8.089;3.220;-0.011;-1.869;-9.726;1.414;2.643;-6.071;-7.248;-3.467;-2.100;2.749;1.778;5.270;1.684;-2.093;-9.168;-9.332;-9.422;-11.628
-8.968;1.288;0.717;0.879;-0.098;-0.543;4.785;-5.027;-0.718;1.038;12.609;5.124;11.089;8.020;3.522;-0.144;-2.320;-10.506;0.831;2.589;-5.544;-7.074;-3.632;-2.836;2.308;1.846;5.594;2.066;-2.824;-10.150;-9.721;-10.035;-11.972
-8.682;1.727;0.941;0.928;0.087;-0.032;5.012;-4.587;-0.869;1.058;12.923;5.277;10.962;8.055;3.814;0.000;-2.374;-10.911;0.381;2.638;-4.951;-6.818;-3.841;-3.763;1.738;1.801;5.744;2.369;-3.459;-10.985;-9.892;-10.757;-12.283
-8.332;2.165;1.083;0.878;0.240;0.455;5.274;-4.248;-1.219;0.893;13.216;5.257;10.746;8.118;4.030;0.240;-2.128;-11.111;-0.084;2.675;-4.504;-6.638;-4.237;-4.945;0.923;1.528;5.647;2.477;-4.078;-11.803;-9.967;-11.601;-12.593
-8.119;2.413;0.976;0.577;0.229;0.770;5.567;-4.127;-1.901;0.428;13.520;4.976;10.368;8.054;3.998;0.299;-1.801;-11.352;-0.702;2.578;-4.418;-6.710;-4.960;-6.444;-0.232;0.903;5.237;2.286;-4.812;-12.764;-10.098;-12.607;-12.943
-8.172;2.377;0.561;-0.025;-0.034;0.799;5.824;-4.304;-2.968;-0.376;13.839;4.418;9.787;7.733;3.573;-0.012;-1.575;-11.794;-1.508;2.316;-4.761;-7.108;-6.040;-8.250;-1.727;-0.119;4.524;1.776;-5.730;-13.930;-10.342;-13.771;-13.302
-8.498;2.103;-0.083;-0.831;-0.519;0.542;5.967;-4.739;-4.310;-1.413;14.065;3.677;9.044;7.163;2.805;-0.643;-1.486;-12.426;-2.412;1.985;-5.398;-7.739;-7.347;-10.232;-3.427;-1.444;3.639;1.073;-6.749;-15.198;-10.601;-14.980;-13.537
-9.001;1.728;-0.798;-1.671;-1.112;0.103;5.939;-5.248;-5.668;-2.464;14.039;2.895;8.242;6.452;1.913;-1.356;-1.446;-13.118;-3.257;1.741;-6.072;-8.418;-8.649;-12.180;-5.129;-2.885;2.772;0.387;-7.678;-16.378;-10.688;-16.051;-13.488
-9.533;1.382;-1.460;-2.421;-1.720;-0.392;5.702;-5.588;-6.748;-3.297;13.693;2.172;7.472;5.705;1.103;-1.916;-1.368;-13.732;-3.892;1.704;-6.532;-8.982;-9.726;-13.895;-6.666;-4.271;2.046;-0.127;-8.354;-17.321;-10.442;-16.851;-13.079
-9.958;1.117;-2.037;-3.050;-2.332;-0.875;5.218;-5.576;-7.343;-3.756;13.113;1.543;6.769;4.990;0.426;-2.218;-1.230;-14.163;-4.207;1.919;-6.625;-9.342;-10.453;-15.241;-7.969;-5.506;1.480;-0.425;-8.711;-17.950;-9.775;-17.350;-12.342
-10.182;0.919;-2.549;-3.582;-2.972;-1.337;4.465;-5.129;-7.361;-3.758;12.439;1.008;6.148;4.348;-0.187;-2.263;-1.060;-14.331;-4.132;2.387;-6.290;-9.460;-10.791;-16.136;-9.025;-6.537;1.041;-0.534;-8.752;-18.208;-8.664;-17.578;-11.349
-10.143;0.764;-3.003;-4.034;-3.609;-1.747;3.500;-4.209;-6.777;-3.269;11.744;0.578;5.638;3.801;-0.810;-2.096;-0.900;-14.189;-3.630;3.099;-5.544;-9.309;-10.733;-16.533;-9.827;-7.313;0.719;-0.476;-8.484;-18.049;-7.131;-17.559;-10.165
-9.851;0.637;-3.389;-4.430;-4.147;-2.024;2.457;-2.798;-5.632;-2.313;11.031;0.289;5.284;3.360;-1.456;-1.790;-0.786;-13.771;-2.735;4.018;-4.507;-8.912;-10.319;-16.448;-10.374;-7.807;0.538;-0.236;-7.916;-17.486;-5.277;-17.318;-8.870
-9.416;0.508;-3.730;-4.811;-4.507;-2.130;1.475;-0.962;-4.080;-0.996;10.330;0.174;5.116;3.025;-2.074;-1.427;-0.745;-13.202;-1.592;5.037;-3.418;-8.393;-9.677;-15.999;-10.702;-8.055;0.527;0.211;-7.077;-16.636;-3.296;-16.915;-7.587
-8.971;0.339;-4.074;-5.211;-4.684;-2.111;0.638;1.118;-2.367;0.496;9.716;0.223;5.123;2.781;-2.574;-1.074;-0.782;-12.635;-0.382;6.018;-2.533;-7.919;-8.992;-15.366;-10.878;-8.134;0.697;0.865;-6.013;-15.659;-1.393;-16.440;-6.454
-8.585;0.110;-4.451;-5.625;-4.715;-2.040;-0.036;3.212;-0.735;1.963;9.259;0.393;5.256;2.577;-2.852;-0.760;-0.903;-12.166;0.788;6.860;-1.992;-7.599;-8.394;-14.703;-10.958;-8.112;1.021;1.692;-4.788;-14.674;0.293;-15.964;-5.554
-8.255;-0.171;-4.861;-6.027;-4.642;-1.970;-0.567;5.103;0.650;3.250;8.970;0.631;5.440;2.350;-2.829;-0.504;-1.138;-11.796;1.908;7.547;-1.777;-7.422;-7.922;-14.095;-10.964;-8.016;1.453;2.639;-3.484;-13.719;1.723;-15.510;-4.892
-7.908;-0.437;-5.253;-6.374;-4.500;-1.926;-0.964;6.590;1.683;4.242;8.788;0.873;5.597;2.072;-2.491;-0.335;-1.533;-11.461;3.052;8.140;-1.750;-7.307;-7.552;-13.573;-10.898;-7.851;1.950;3.663;-2.176;-12.762;2.955;-15.069;-4.406
-7.439;-0.555;-5.525;-6.611;-4.331;-1.930;-1.201;7.477;2.270;4.836;8.606;1.030;5.643;1.763;-1.900;-0.293;-2.100;-11.075;4.351;8.750;-1.718;-7.167;-7.245;-13.149;-10.782;-7.629;2.470;4.735;-0.919;-11.733;4.117;-14.637;-4.016
-6.798;-0.394;-5.567;-6.669;-4.173;-2.003;-1.267;7.615;2.359;4.970;8.347;1.011;5.528;1.486;-1.170;-0.392;-2.768;-10.539;5.919;9.489;-1.513;-6.941;-6.969;-12.822;-10.648;-7.386;2.967;5.826;0.273;-10.545;5.344;-14.230;-3.660
-6.044;0.095;-5.309;-6.487;-4.052;-2.148;-1.234;6.962;1.975;4.652;8.018;0.758;5.257;1.315;-0.427;-0.589;-3.359;-9.747;7.790;10.423;-1.048;-6.596;-6.716;-12.564;-10.515;-7.164;3.388;6.897;1.421;-9.125;6.716;-13.852;-3.302
-5.304;0.855;-4.741;-6.033;-3.983;-2.360;-1.214;5.604;1.210;3.932;7.685;0.246;4.855;1.278;0.219;-0.773;-3.636;-8.626;9.906;11.545;-0.343;-6.140;-6.509;-12.341;-10.406;-7.009;3.667;7.893;2.545;-7.467;8.222;-13.501;-2.932
-4.698;1.758;-3.898;-5.317;-3.959;-2.606;-1.235;3.746;0.194;2.873;7.351;-0.529;4.325;1.321;0.693;-0.797;-3.411;-7.185;12.135;12.782;0.493;-5.613;-6.377;-12.127;-10.359;-6.953;3.757;8.752;3.636;-5.671;9.769;-13.167;-2.553
-4.284;2.679;-2.857;-4.393;-3.919;-2.797;-1.204;1.680;-0.923;1.582;6.895;-1.530;3.659;1.355;0.981;-0.557;-2.624;-5.514;14.309;14.046;1.333;-5.055;-6.313;-11.883;-10.397;-6.986;3.671;9.441;4.682;-3.899;11.245;-12.818;-2.145
-4.060;3.548;-1.741;-3.352;-3.782;-2.838;-0.998;-0.325;-2.020;0.193;6.163;-2.684;2.843;1.314;1.072;-0.080;-1.395;-3.758;16.263;15.273;2.088;-4.488;-6.281;-11.580;-10.500;-7.080;3.461;9.945;5.651;-2.312;12.556;-12.417;-1.683
-3.970;4.348;-0.701;-2.315;-3.508;-2.704;-0.586;-2.126;-3.044;-1.173;5.110;-3.912;1.877;1.151;0.937;0.496;0.016;-2.067;17.865;16.405;2.720;-3.923;-6.239;-11.226;-10.630;-7.211;3.179;10.256;6.507;-1.000;13.641;-11.961;-1.163
-3.923;5.077;0.151;-1.378;-3.107;-2.434;-0.043;-3.702;-3.982;-2.416;3.819;-5.135;0.807;0.851;0.582;1.035;1.330;-0.536;19.042;17.394;3.246;-3.344;-6.130;-10.844;-10.722;-7.324;2.891;10.395;7.258;0.067;14.501;-11.450;-0.591
-3.834;5.738;0.795;-0.572;-2.602;-2.074;0.505;-5.071;-4.798;-3.426;2.410;-6.269;-0.272;0.442;0.092;1.467;2.352;0.799;19.808;18.221;3.743;-2.678;-5.846;-10.405;-10.665;-7.302;2.706;10.438;7.980;1.006;15.215;-10.847;0.041
-3.699;6.324;1.274;0.144;-2.008;-1.641;0.945;-6.216;-5.400;-4.089;0.990;-7.235;-1.253;-0.018;-0.402;1.794;3.012;1.922;20.264;18.911;4.336;-1.820;-5.250;-9.815;-10.306;-6.989;2.748;10.486;8.760;1.940;15.900;-10.084;0.745
-3.637;6.815;1.645;0.828;-1.345;-1.128;1.192;-7.074;-5.674;-4.301;-0.377;-7.959;-2.040;-0.457;-0.767;2.081;3.362;2.850;20.571;19.530;5.166;-0.670;-4.235;-8.950;-9.493;-6.244;3.127;10.648;9.658;2.980;16.662;-9.083;1.533
-3.788;7.190;1.943;1.520;-0.649;-0.539;1.169;-7.591;-5.541;-3.996;-1.643;-8.369;-2.568;-0.798;-0.931;2.389;3.530;3.666;20.906;20.158;6.325;0.827;-2.771;-7.702;-8.138;-4.976;3.923;11.027;10.715;4.237;17.580;-7.796;2.427
-4.196;7.452;2.174;2.197;0.015;0.068;0.809;-7.771;-5.005;-3.191;-2.743;-8.424;-2.814;-1.013;-0.936;2.667;3.618;4.475;21.391;20.827;7.786;2.629;-0.942;-6.054;-6.277;-3.200;5.138;11.655;11.916;5.775;18.671;-6.253;3.433
-4.834;7.580;2.303;2.764;0.560;0.589;0.080;-7.689;-4.171;-2.000;-3.576;-8.136;-2.798;-1.128;-0.910;2.788;3.648;5.325;22.014;21.463;9.380;4.574;1.059;-4.119;-4.084;-1.067;6.673;12.457;13.189;7.542;19.858;-4.569;4.506
-5.712;7.505;2.278;3.095;0.910;0.931;-0.955;-7.439;-3.185;-0.596;-4.095;-7.543;-2.543;-1.162;-0.939;2.702;3.643;6.200;22.636;21.929;10.857;6.444;3.001;-2.081;-1.785;1.210;8.384;13.325;14.468;9.390;20.992;-2.886;5.563
-6.846;7.156;2.084;3.127;1.049;1.069;-2.125;-7.086;-2.144;0.882;-4.372;-6.670;-2.056;-1.095;-0.998;2.492;3.673;7.071;23.102;22.133;12.010;8.070;4.715;-0.090;0.442;3.444;10.141;14.197;15.747;11.168;21.949;-1.300;6.529
-8.146;6.524;1.777;2.886;1.017;1.040;-3.239;-6.664;-1.078;2.360;-4.521;-5.549;-1.357;-0.914;-1.026;2.292;3.823;7.938;23.338;22.072;12.742;9.387;6.133;1.769;2.502;5.492;11.810;15.038;17.041;12.792;22.672;0.130;7.343
-9.366;5.686;1.442;2.472;0.872;0.884;-4.172;-6.213;0.002;3.806;-4.606;-4.255;-0.507;-0.658;-0.988;2.189;4.143;8.832;23.376;21.824;13.071;10.399;7.251;3.436;4.340;7.235;13.236;15.817;18.336;14.261;23.163;1.335;7.948
-10.181;4.806;1.157;2.033;0.692;0.623;-4.853;-5.789;1.053;5.178;-4.645;-2.915;0.402;-0.390;-0.882;2.210;4.620;9.803;23.332;21.529;13.117;11.156;8.105;4.856;5.915;8.586;14.294;16.515;19.603;15.620;23.469;2.252;8.306
-10.336;4.090;0.987;1.727;0.577;0.281;-5.250;-5.461;2.005;6.403;-4.636;-1.685;1.268;-0.168;-0.722;2.340;5.177;10.888;23.356;21.343;13.073;11.739;8.762;5.982;7.188;9.507;14.932;17.129;20.809;16.910;23.668;2.852;8.404
-9.811;3.683;0.956;1.671;0.611;-0.101;-5.372;-5.288;2.779;7.395;-4.547;-0.720;1.999;-0.047;-0.553;2.499;5.664;12.060;23.517;21.340;13.106;12.244;9.297;6.790;8.123;9.993;15.144;17.646;21.887;18.117;23.810;3.142;8.229
-8.836;3.593;1.062;1.918;0.866;-0.451;-5.242;-5.267;3.339;8.109;-4.375;-0.118;2.523;-0.070;-0.437;2.579;5.911;13.213;23.756;21.486;13.298;12.757;9.778;7.305;8.705;10.076;14.961;18.032;22.734;19.184;23.885;3.168;7.787
-7.721;3.733;1.312;2.484;1.404;-0.665;-4.849;-5.315;3.734;8.566;-4.237;0.130;2.825;-0.226;-0.407;2.520;5.855;14.252;23.983;21.701;13.663;13.360;10.287;7.633;8.978;9.865;14.492;18.281;23.294;20.080;23.876;3.051;7.160
-6.694;3.988;1.701;3.328;2.245;-0.680;-4.174;-5.317;4.035;8.803;-4.333;0.116;2.958;-0.445;-0.455;2.329;5.607;15.149;24.158;21.926;14.155;14.094;10.891;7.916;9.039;9.546;13.922;18.443;23.595;20.838;23.782;2.965;6.511
-5.860;4.249;2.154;4.308;3.313;-0.515;-3.279;-5.201;4.257;8.805;-4.779;-0.050;3.014;-0.643;-0.588;2.015;5.367;15.920;24.264;22.114;14.655;14.905;11.581;8.250;8.976;9.296;13.437;18.586;23.718;21.506;23.606;3.049;6.016
-5.201;4.467;2.565;5.248;4.467;-0.232;-2.316;-4.943;4.364;8.536;-5.545;-0.279;3.092;-0.754;-0.834;1.568;5.315;16.596;24.302;22.237;15.034;15.687;12.299;8.661;8.850;9.235;13.167;18.761;23.745;22.116;23.352;3.368;5.791
-4.609;4.684;2.872;6.037;5.575;0.120;-1.449;-4.560;4.327;7.999;-6.520;-0.517;3.254;-0.736;-1.213;0.996;5.557;17.220;24.325;22.307;15.251;16.365;13.011;9.148;8.716;9.416;13.168;18.984;23.741;22.692;23.035;3.930;5.879
-3.973;4.974;3.075;6.657;6.550;0.511;-0.787;-4.113;4.122;7.224;-7.581;-0.733;3.504;-0.578;-1.707;0.350;6.134;17.842;24.412;22.355;15.355;16.943;13.723;9.690;8.622;9.837;13.438;19.234;23.733;23.245;22.662;4.693;6.255
-3.236;5.375;3.226;7.155;7.358;0.910;-0.342;-3.701;3.715;6.240;-8.618;-0.927;3.785;-0.310;-2.267;-0.274;7.042;18.497;24.619;22.399;15.433;17.474;14.435;10.227;8.575;10.445;13.923;19.456;23.706;23.753;22.218;5.565;6.828
-2.377;5.896;3.419;7.626;8.014;1.293;-0.041;-3.415;3.071;5.068;-9.529;-1.111;4.020;0.010;-2.836;-0.751;8.235;19.193;24.942;22.420;15.559;18.010;15.122;10.664;8.527;11.139;14.534;19.587;23.625;24.157;21.681;6.418;7.441
-1.405;6.526;3.735;8.164;8.551;1.642;0.194;-3.311;2.184;3.767;-10.187;-1.297;4.163;0.341;-3.344;-0.945;9.618;19.910;25.291;22.367;15.760;18.549;15.732;10.903;8.406;11.784;15.142;19.582;23.460;24.379;21.020;7.106;7.907
-0.373;7.212;4.174;8.779;8.974;1.928;0.377;-3.420;1.083;2.416;-10.425;-1.479;4.225;0.668;-3.715;-0.768;11.045;20.595;25.502;22.172;15.993;19.025;16.183;10.870;8.142;12.226;15.592;19.402;23.193;24.339;20.188;7.488;8.048
0.619;7.856;4.654;9.374;9.265;2.110;0.482;-3.749;-0.178;1.096;-10.089;-1.628;4.252;0.981;-3.885;-0.245;12.334;21.155;25.404;21.777;16.154;19.342;16.385;10.527;7.688;12.329;15.724;19.004;22.809;23.965;19.136;7.448;7.743
1.428;8.360;5.069;9.805;9.427;2.178;0.513;-4.252;-1.494;-0.117;-9.141;-1.686;4.306;1.271;-3.804;0.484;13.311;21.479;24.904;21.143;16.131;19.423;16.298;9.891;7.044;12.019;15.432;18.345;22.292;23.217;17.843;6.945;6.956
1.867;8.634;5.325;9.965;9.497;2.164;0.510;-4.830;-2.726;-1.143;-7.654;-1.582;4.452;1.555;-3.442;1.204;13.822;21.450;23.979;20.245;15.815;19.216;15.942;9.029;6.270;11.304;14.692;17.401;21.614;22.079;16.305;6.020;5.728
1.771;8.606;5.363;9.817;9.512;2.121;0.498;-5.377;-3.742;-1.899;-5.731;-1.258;4.743;1.858;-2.834;1.668;13.742;20.978;22.663;19.084;15.129;18.693;15.381;8.026;5.468;10.261;13.546;16.172;20.745;20.566;14.545;4.761;4.130
1.134;8.268;5.194;9.418;9.506;2.112;0.488;-5.802;-4.431;-2.298;-3.506;-0.664;5.226;2.211;-2.083;1.692;13.055;20.086;21.076;17.737;14.084;17.878;14.704;6.978;4.772;9.049;12.130;14.721;19.707;18.772;12.658;3.291;2.279
0.168;7.688;4.895;8.883;9.498;2.201;0.481;-6.033;-4.726;-2.259;-1.147;0.242;5.952;2.657;-1.303;1.270;11.927;18.952;19.441;16.373;12.813;16.865;14.002;5.999;4.333;7.895;10.674;13.202;18.628;16.914;10.818;1.770;0.329
-0.769;6.986;4.560;8.332;9.485;2.413;0.461;-6.045;-4.628;-1.764;1.184;1.437;6.935;3.250;-0.534;0.602;10.667;17.826;18.022;15.174;11.496;15.788;13.338;5.180;4.255;7.012;9.436;11.820;17.685;15.237;9.217;0.352;-1.561
-1.296;6.308;4.269;7.864;9.449;2.728;0.400;-5.861;-4.197;-0.873;3.344;2.818;8.119;4.038;0.272;-0.004;9.601;16.910;17.042;14.267;10.298;14.773;12.744;4.577;4.571;6.520;8.601;10.753;17.013;13.915;7.990;-0.840;-3.264
-1.182;5.796;4.083;7.545;9.366;3.094;0.260;-5.536;-3.497;0.320;5.197;4.245;9.397;5.036;1.178;-0.328;8.925;16.299;16.603;13.705;9.335;13.916;12.246;4.223;5.260;6.455;8.250;10.092;16.644;13.019;7.200;-1.716;-4.658
-0.477;5.517;4.012;7.390;9.199;3.435;-0.009;-5.136;-2.586;1.720;6.627;5.576;10.638;6.201;2.159;-0.338;8.643;15.975;16.639;13.468;8.650;13.250;11.855;4.132;6.278;6.802;8.367;9.824;16.506;12.535;6.844;-2.233;-5.636
0.495;5.429;4.006;7.351;8.915;3.660;-0.440;-4.734;-1.529;3.242;7.547;6.689;11.699;7.401;3.058;-0.165;8.597;15.825;16.953;13.476;8.213;12.751;11.551;4.285;7.544;7.502;8.852;9.856;16.446;12.366;6.869;-2.414;-6.131
1.244;5.372;3.957;7.341;8.494;3.698;-1.018;-4.390;-0.424;4.787;7.905;7.484;12.453;8.433;3.641;-0.008;8.572;15.670;17.275;13.599;7.942;12.346;11.277;4.605;8.925;8.443;9.562;10.049;16.303;12.338;7.168;-2.322;-6.134
1.265;5.118;3.732;7.266;7.946;3.526;-1.699;-4.152;0.608;6.234;7.699;7.900;12.838;9.123;3.729;-0.035;8.379;15.316;17.323;13.684;7.728;11.936;10.955;4.992;10.249;9.483;10.372;10.283;15.970;12.243;7.597;-2.030;-5.677
0.202;4.489;3.269;7.084;7.327;3.167;-2.447;-4.026;1.469;7.467;6.975;7.934;12.874;9.425;3.308;-0.306;7.874;14.610;16.885;13.620;7.498;11.441;10.538;5.365;11.363;10.490;11.208;10.494;15.413;11.915;8.021;-1.585;-4.812
-2.059;3.428;2.613;6.843;6.734;2.668;-3.240;-3.970;2.122;8.399;5.814;7.633;12.619;9.394;2.513;-0.775;6.946;13.466;15.887;13.383;7.253;10.853;10.032;5.688;12.173;11.361;12.015;10.649;14.639;11.288;8.355;-1.023;-3.608
-5.385;1.987;1.879;6.633;6.260;2.071;-4.045;-3.916;2.581;8.979;4.331;7.063;12.110;9.078;1.497;-1.390;5.502;11.870;14.375;13.009;7.037;10.223;9.473;5.937;12.639;12.007;12.709;10.695;13.664;10.391;8.565;-0.400;-2.177
-9.424;0.324;1.198;6.534;5.968;1.425;-4.796;-3.822;2.851;9.170;2.687;6.272;11.330;8.467;0.353;-2.150;3.489;9.857;12.495;12.556;6.893;9.620;8.902;6.077;12.724;12.339;13.161;10.548;12.515;9.287;8.648;0.186;-0.690
-13.648;-1.301;0.701;6.618;5.912;0.815;-5.365;-3.696;2.918;8.951;1.028;5.284;10.244;7.545;-0.874;-3.063;0.949;7.516;10.466;12.084;6.853;9.114;8.374;6.071;12.393;12.285;13.227;10.126;11.235;8.033;8.608;0.626;0.654
-17.488;-2.566;0.527;6.970;6.175;0.378;-5.550;-3.558;2.799;8.364;-0.626;4.136;8.869;6.367;-2.118;-4.075;-1.921;5.009;8.543;11.664;6.982;8.801;7.973;5.948;11.666;11.838;12.837;9.408;9.897;6.701;8.449;0.873;1.709
-20.470;-3.210;0.789;7.672;6.850;0.272;-5.150;-3.404;2.579;7.534;-2.377;2.917;7.320;5.070;-3.260;-5.061;-4.745;2.586;6.963;11.377;7.394;8.815;7.820;5.824;10.666;11.094;12.058;8.478;8.614;5.404;8.191;0.995;2.443
